598,臺北富邦勇士,1,26,56,46.43,3,28,10.71,13,20,65,74,63,20,43,16,9,5,22,21
598,桃園璞園領航猿,0,18,50,36.0,11,35,31.43,15,25,60,84,55,16,39,20,11,6,13,19
599,臺北富邦勇士,1,26,57,45.61,13,36,36.11,17,20,85.0,108,67,23,44,27,6,5,17,19
599,高雄鋼鐵人,0,20,53,37.74,13,34,38.24,14,17,82.35,93,40,8,32,17,9,8,12,20
600,桃園璞園領航猿,1,19,43,44.19,19,40,47.5,10,16,62.5,105,46,15,31,35,13,1,14,18
600,臺北富邦勇士,0,22,43,51.16,12,34,35.29,14,18,77.78,94,46,15,31,23,6,6,18,17
601,桃園璞園領航猿,1,31,51,60.78,7,25,28.0,21,30,70.0,104,57,21,36,24,2,6,20,20
601,台鋼獵鷹,0,22,39,56.41,11,40,27.5,15,18,83.33,92,28,8,20,17,9,4,8,26
602,臺北富邦勇士,1,22,44,50,15,35,42.86,28,40,70,117,49,15,34,34,8,7,19,19
602,桃園璞園領航猿,0,24,50,48,16,42,38.1,18,25,72,114,49,17,32,24,12,4,17,28
603,臺北富邦勇士,1,19,41,46.34,13,40,32.5,16,26,61.54,93,53,13,40,18,4,6,10,26
603,台鋼獵鷹,0,20,55,36.36,14,33,42.42,17,29,58.62,99,63,20,43,15,8,1,9,24
604,臺北富邦勇士,1,27,47,57.45,11,40,27.5,25,35,71.43,112,59,19,40,38,6,3,13,24
604,高雄鋼鐵人,0,20,48,41.67,15,37,40.54,18,25,72.0,103,49,13,36,17,6,1,14,27
