9,夢想家TEAM,1,23,47,48.9,8,34,23.5,18,23,78.3,88,50,11,39,18,9,13,20,22
9,特攻TEAM,0,24,65,36.9,5,26,19.2,11,25,44.0,74,68,27,41,15,13,2,22,24
10,海神TEAM,1,16,39,41.0,10,42,23.8,16,26,61.5,78,41,23,18,21,12,3,19,23
10,國王TEAM,0,28,43,65.1,5,17,29.4,17,23,73.9,88,42,10,32,17,9,3,27,26
11,夢想家TEAM,1,30,46,65.2,9,31,29.0,18,26,69.2,105,50,12,38,21,11,3,17,27
11,戰神TEAM,0,21,45,46.7,9,35,25.7,16,27,59.3,85,44,15,29,19,8,3,18,20
12,海神TEAM,1,22,44,50.0,12,33,36.4,13,14,92.9,93,47,16,31,26,6,3,18,16
12,攻城獅TEAM,0,24,50,48.0,8,25,32.0,7,15,46.7,79,38,11,27,16,11,5,17,17
13,海神TEAM,1,15,41,36.6,15,32,46.9,13,16,81.3,88,43,13,30,27,11,3,25,25
13,戰神TEAM,0,19,40,47.5,7,25,28.0,12,21,57.1,71,35,8,27,16,12,3,24,17
14,國王TEAM,1,39,56,69.6,10,32,31.3,14,19,73.7,122,53,9,44,27,5,2,10,22
14,攻城獅TEAM,0,27,54,50.0,7,35,20.0,18,28,64.3,93,45,13,32,22,7,4,10,17
15,海神TEAM,1,23,43,53.5,10,31,32.3,12,15,80.0,88,51,19,32,23,7,3,23,19
15,雲豹TEAM,0,21,42,50.0,12,36,33.3,9,10,90.0,87,33,12,21,17,14,2,13,20
16,國王TEAM,1,16,45,35.6,16,48,33.3,18,25,72.0,98,56,18,38,21,12,5,15,12
16,特攻TEAM,0,26,43,60.5,12,43,27.9,11,14,78.6,99,52,11,41,25,7,5,17,19
17,國王TEAM,1,30,52,57.7,5,28,17.9,13,19,68.4,88,59,10,49,20,5,7,14,17
17,夢想家TEAM,0,18,47,38.3,12,43,27.9,9,13,69.2,81,50,13,37,21,9,2,9,18
18,特攻TEAM,1,28,58,48.3,10,29,34.5,21,32,65.6,107,59,23,36,23,14,6,21,26
18,海神TEAM,0,26,56,46.4,8,28,28.6,21,28,75.0,97,46,15,31,26,16,4,21,22
19,戰神TEAM,1,19,42,45.2,8,44,18.2,14,19,73.7,76,51,20,31,16,12,4,18,18
19,攻城獅TEAM,0,26,51,51.0,4,27,14.8,15,19,78.9,79,56,18,38,17,15,6,22,16
20,特攻TEAM,1,26,66,39.4,6,26,23.1,12,22,54.5,82,59,24,35,15,8,3,16,18
20,夢想家TEAM,0,22,38,57.9,11,41,26.8,12,21,57.1,89,57,15,42,16,10,7,19,20
21,戰神TEAM,1,22,50,44.0,6,35,17.1,16,24,66.7,78,60,23,37,18,5,4,18,21
21,雲豹TEAM,0,18,38,47.4,10,38,26.3,16,20,80.0,82,48,12,36,17,10,2,16,20
22,夢想家TEAM,1,23,37,62.2,10,27,37.0,23,30,76.7,99,45,7,38,19,8,9,19,18
22,海神TEAM,0,23,50,46.0,12,36,33.3,8,14,57.1,90,43,17,26,25,13,2,14,24
23,攻城獅TEAM,1,30,55,54.5,10,38,26.3,9,14,64.3,99,58,17,41,26,11,5,10,25
23,雲豹TEAM,0,22,42,52.4,4,29,13.8,17,33,51.5,73,50,12,38,15,8,2,17,16
24,夢想家TEAM,1,18,42,42.9,13,42,31.0,12,20,60.0,87,63,16,47,13,9,4,16,23
24,國王TEAM,0,25,59,42.4,4,26,15.4,14,29,48.3,76,60,17,43,19,12,2,15,19
25,攻城獅TEAM,1,26,59,44.1,7,15,46.7,11,19,57.9,84,42,7,35,17,11,4,15,19
25,戰神TEAM,0,27,55,49.1,10,35,28.6,10,16,62.5,94,63,22,41,27,8,2,17,20
